target,target
Happy muthath`s day to all moms!!! I salute you!,positive
ហាហាហា!មិនអីទេ..,positive
តើ​អ្នក​មិន​គួរ​ជួយ​ដល់​សេដ្ឋកិច្ច​ក្នុង​ស្រុក​ទេ... LOL ... ល្អ​សម្រាប់​អ្នក និង​អបអរសាទរ,positive
ល្អណាស់ដែលបានដឹង សូមអរគុណ,positive
តើអ្នកជាអ្វី?រសជាតិនៃថ្ងៃ?,neutral
អាកាស​ធាតុ​ធ្វើ​ឱ្យ​ខ្ញុំ​នៅ​ព្រឹក​នេះ... អុញ!...hada gd nite tho!,neutral
ទើបតែបានស្តាប់ condre scr ហើយទទួលបានការអញ្ជើញឱ្យមើលការប្រគុំតន្ត្រីផ្ទាល់របស់ពួកគេនៅថ្ងៃទី 20 ខែមិថុនានៅទីក្រុង Munich http://bit.ly/DAXA0 #postrock,neutral
E.L.O.wow នាំមកនូវការចងចាំដ៏រីករាយជាច្រើនមកវិញ។ស្រឡាញ់​ក្រុម​នេះ!..ហើយ​បាទ ខ្ញុំ​ដឹង​ថា​ខ្ញុំ​មាន​អាយុ​ហើយ ប៉ុន្តែ​ខ្ញុំ​មិន​ខ្វល់​ទេ។,positive
នោះជារូបភាពគួរឲ្យស្រលាញ់ណាស់… ប៉ុន្តែអ្នកមិនធាត់ពីការលិទ្ធសាច់អាំងទេ… គាត់ច្បាស់ជាបានប្រទះឃើញស្នាមប្រេះនៅលើអ្នកផ្សេង…,positive
អូខ្ញុំចូលចិត្តពេលព្រឹកថ្ងៃអាទិត្យបែបនេះ - ម៉ាក់ទើបតែធ្វើពងមាន់អាំងនៅលើនំបុ័ង,positive
ស្អប់ការងារពេលមានពន្លឺថ្ងៃ boohoo,negative
គឺ ONLiNE http://plurk.com/p/stjdg,neutral
បាច់។ក្នុងរយៈពេល 3 ថ្ងៃ.!!!!អាកាសធាតុក្តៅខ្ញុំមកដល់ហើយ!,neutral
ឆ្ងល់​ថា​តើ​ខ្ញុំ​អាច​ធ្វើ​ឱ្យ​រឿង​អាក្រក់​ជាង​អ្វី​ដែល​មាន​រួច​ទៅ​ហើយ... ឆ្លើយ​មក.. គ្រាន់​តែ​ធ្វើ!!!,negative
ទីភ្នាក់ងារទីផ្សាររបស់ប្រទេសហូឡង់កំពុងស្នើសុំឱ្យអ្នកដាក់ពាក្យសុំធ្វើការក្នុង 140 តួអក្សរ ឬតិចជាងនេះ http://www.energize.nl/twillicitatie/,neutral
Twitter បានបំផ្លាញភាពសប្បាយរីករាយទាំងអស់។យឺតយ៉ាវ!!សូម្បីតែមិនអាចដេញថ្លៃបានត្រឹមត្រូវ!,negative
_ចុយ ហាហា។ខ្ញុំយល់ស្របទាំងស្រុង,positive
បើ​យើង​មិន​ខ្ចប់ នាង​មិន​អាច​ចេញ​បាន​ទេ?,neutral
**** ឡូយ....តើអ្នកទៅណា?,neutral
ចូលគេងបន្ទាប់ពីយប់ដ៏អស្ចារ្យជាមួយមិត្តម្នាក់ដោយរីករាយដែលដឹងថានាងមានអារម្មណ៍ដូចគ្នាចំពោះថ្នាក់រៀនដូចអ្នកដ៏ទៃ,positive
" many! mine included. ahem. shld have known better back then, wldn`t have missed so many opportunities haha",negative
វាល្អណាស់ក្នុងការចាកចេញពីការិយាល័យនៅពេលដែលព្រះអាទិត្យនៅតែរះ,positive
ខ្ញុំនឹងនឹកអ្នកម្តាយបាល់ទាត់,negative
រវាងថ្នាំខ្ទឹម សត្វពីងពាងខាំរវាងម្រាមជើងរបស់អ្នក (LOL-Classic) ហើយអ្នកតែងតែឃ្លាន។អ្នកកំពុងសម្លាប់ខ្ញុំ 2 គួរឱ្យអស់សំណើច,neutral
*ដកដង្ហើមធំ* អេ។ប្រហែលជាអ៊ីមែលទីពីររបស់ខ្ញុំនឹងជម្រះវា ហើយធ្វើឱ្យគាត់យល់ព្រម។,neutral
"  Missed all your tweets again Joe, **** that time difference!!! (UK) Dont 4get about your fave supporters in the UK!!!  ****",neutral
-- ដែលចូលមកក្នុងគំនិតរបស់ខ្ញុំ។ដូច្នេះខ្ញុំបាននិយាយវា។ហើយ​ឥឡូវ​នេះ​វា​ត្រូវ​បាន​គេ​សម្រប​ជា​វាក្យសព្ទ​របស់​គ្រួសារ​ខ្ញុំ,neutral
ទន្ទឹងរង់ចាំការងាររាងកាយនៅថ្ងៃនេះ,neutral
គ្រាន់តែមើលបាទបុរស។បាហាហា។ភាពយន្តនោះរញ៉េរញ៉ៃ,negative
សោកស្ដាយ ខ្ញុំគិតថាខ្ញុំដឹងច្បាស់ថាអ្នកបានដាក់វានៅក្នុងថតដែលផុតកំណត់ របស់ទាំងនោះមានអាយុកាលតិចជាងពីរឆ្នាំ,negative
ច្រើនពេក?ទេ មិនមែនទេ លុះត្រាតែខ្នើយមួយបញ្ចប់ធ្វើឱ្យអ្នកដេកក្បែរអ្នក។,negative
ជួប​មិត្ត​សម្លាញ់​ដំបូង​ពេល​ព្រឹក​ទៅ​កន្លែង​ហាត់ប្រាណ!Omg ខ្ញុំនៅតែតក់ស្លុតខ្លាំងណាស់។ខ្ញុំសង្ឃឹមថាអ្នកនឹងប្រសើរឡើងឆាប់ៗនេះ,neutral
អីយ៉ា វាលឿនណាស់... បន្ទាប់គឺ Soderling ឬ Ferrer ។Gilles Simon ចាញ់,negative
ទ្រឹស្តីល្អណាស់ ប៉ុន្តែការពិតហួសពីការស្មាន... ខ្ញុំក៏បានរៀបចំផែនការដូចគ្នា មិនដឹងថា VS នឹងបរាជ័យលើខ្ញុំទេ,neutral
រីករាយដែលដឹងថាបញ្ហាបង្ហាញការផ្សាយពាណិជ្ជកម្មគឺដោយសារតែការកំណត់រចនាសម្ព័ន្ធជញ្ជាំងភ្លើងនៅការិយាល័យឆ្នាំ។ភេ!,positive
វ៉ូត!,positive
"'I don`t like Monday, i wish it were sunday, cause that`s my fun day.'  that was my freaking jam when i was little.   i miss it.",neutral
?????????- http://bit.ly/nAcK2,neutral
ចាំមើលរឿងចុងក្រោយចប់សិន សាកល្បងចាក់បញ្ចាំងរឿង ខ្មោចសង្សារអតីតកាល កែវស្រា និងកាបូបឡូយក្នុងដៃ អីយ៉ា!,neutral
រីករាយ #StarWarsDay។សូមឱ្យថ្ងៃទី 4 ជាមួយអ្នក!ពីអ្នកទាំងអស់គ្នា _paintball,positive
ត្រូវតែត្រលប់ទៅការិយាល័យវិញ។,neutral
St joe គឺកខ្វក់។,negative
http://twitpic.com/4w67k - បោះតង់នៅបឹងបួរខ្មៅ,neutral
តើ​អ្នក​ទទួល​បាន​សារ​របស់​ខ្ញុំ​ឬ​តើ​អ្នក​ត្រូវ​បន្ថែម​ខ្ញុំ​ដើម្បី​ទទួល​ពួក​វា ដូច្នេះ​ខ្ញុំ​ជា​មនុស្ស​ថ្មី​ចំពោះ​រឿង​នេះ។,neutral
I hate my life,negative
ឈឺក្រពះ.. ហើយឈឺក្បាល.. ខ្ញុំចង់អោយនរណាម្នាក់មកជូតប្រាសាទរបស់ខ្ញុំ។,negative
 ****! natalya! you gotta tell me whats going on!!! i`d call you but i lost all my phone numbers when i broke my blackberry,negative
គិតតែពីអយុត្តិធម៍ មនុស្ស 3 នាក់ជាខ្ញុំ 2 នាក់ហើយ ធ្លាក់ទឹកមាត់ទៀតហើយ HATERS !!!,negative
ស្រក់ទឹកភ្នែកពិត,negative
_Brown កាន់រឿងនេះមួយរយៈ http://twitpic.com/4w5eh,neutral
ពិធីជប់លៀង burfday របស់ Panchito យប់នេះ... ជូនពរអ្នកនៅទីនេះ kiddo!,positive
ត្រឡប់​មក​ពី​ទីក្រុង​វិញ​ហើយ Mac របស់​ខ្ញុំ​បាន​ធ្លាក់​មក​លើ​ខ្ញុំ ប៉ុន្តែ​ឥឡូវ​នេះ​វា​ប្រសើរ​ជាង,neutral
ARCHIE ANDREWS តើអ្នកកំពុងគិតយ៉ាងណា?!veronica?,neutral
របស់ដែលល្អបំផុតក្នុងជីវិតគឺ ឥតគិតថ្លៃ x,positive
នឹកម្តាយខ្ញុំថ្ងៃនេះ។នាង​ជា​មិត្ត​ល្អ​បំផុត​របស់​ខ្ញុំ ហើយ​ទោះ​បី​ជា​នាង​បាន​ទៅ​ជា​ច្រើន​ឆ្នាំ​ហើយ​ក៏​ដោយ ខ្ញុំ​នៅ​តែ​នឹក​នាង​យ៉ាង​ខ្លាំង។រីករាយថ្ងៃបុណ្យម្ដាយ,positive
ខ្ញុំកំពុងមើលរឿង Blood+ នៅលើ veoh វគ្គ 19 love the music.wishing i can watch the live action but not old,negative
នោះគឺជារឿងអាស្រូវ,negative
 He is the truth! But what about Maxwell? You can`t forget the future father of my children!,neutral
http://twitpic.com/665jw សត្វក្រៀលបានស៊ីនំបុ័ងរបស់យើង!,negative
ប្រាប់​អ្នក​ម្តាយ​ឱ្យ​ដឹង​ថា​អ្នក​គិត​ថា​អស្ចារ្យ​ប៉ុណ្ណា!!ជិតដល់ថ្ងៃបុណ្យម្ដាយ។,positive
"_in_a_story Glad I`m not the only one. He`s our baby, and I`m terrified he`ll think we`re never coming back.",neutral
គ្មានការបើកដំណើរការថ្ងៃនេះទេ។គ្រូបានផ្លាស់ប្តូរផែនការ ហើយយើងបានមើលសកម្មភាពដ៏ឆោតល្ងង់អំពី tesla,negative
  it`s very pleasant. i sooo rarely just have time to kill...,positive
អរគុណ!!អូខ្ញុំឃើញអ្នកបានអាន កោះវាលខ្សាច់ http://is.gd/ys6K សៀវភៅដ៏អស្ចារ្យ!,positive
__O lol ប៉ុន្តែ tiz ជាបទចម្រៀងល្អ។,positive
មក​ធ្វើ​ការ​លើ​ហាង​អ៊ីនធឺណិត​ម្ដង​ទៀត… កុំ​គិត​ថា​យើង​នឹង​សម្រេច​គោល​ដៅ​ផ្ទុក​ឡើង​តាម​ពេល​វេលា​ដែល​បាន​កំណត់​ទុក​មុន​នឹង​បន្ត,neutral
@_Anix_ ខ្ញុំបានទិញការ៉េមឈីសខេកកាលពីសប្តាហ៍មុន ដោយគិតថាវាល្អ ហើយវាបឺតខ្លាំងណាស់។ខ្ញុំកំពុងយករបស់អ្នក។,negative
តើអ្វីបណ្តាលឱ្យមិត្តភ័ក្តិខកចិត្ត?,neutral
_Wright អរគុណ!'Return of the Mack' គឺជាការកកស្ទះ!,positive
ត្រៀម​ខ្លួន​រួច​ជា​ស្រេច​សម្រាប់​ថ្ងៃ​ចុង​សប្តាហ៍​ដ៏​គួរ​ឱ្យ​ព្រួយ​បារម្ភ​ដ៏​ក្រៀម​ក្រំ​នេះ​។,negative
សូមអភ័យទោសចំពោះការខ្វះខាត tweets របស់ខ្ញុំដែលខ្ញុំរវល់។វីដេអូថ្មីថ្ងៃសៅរ៍នេះ!!,negative
ខ្ញុំខំប្រឹងអស់ពីសមត្ថភាព បន្តទៅថ្ងៃធ្វើការ paintball ឆាប់ៗនេះ ដូច្នេះហើយទើបអាចចាក់សាំងពីរបីបន្ទះ ដោយមិនសង្ស័យ,positive
ចូលគេងមិនអាចទទួលយកបុរសនេះទៀតទេ។[U],negative
_Morden ..be at richard's ។បើមិនអញ្ចឹងទេ ខ្ញុំនឹងជួបអ្នក នៅពេលអ្នក / យើងត្រលប់មកវិញ សំណាងល្អ!,positive
អរគុណ... ខ្ញុំពិតជាពេញចិត្តចំពោះវា។ខ្ញុំដឹងថាវានឹងជារឿងពិបាកបំផុតដែលខ្ញុំធ្លាប់ធ្វើ,neutral
ចំណាយពេលម៉ោងចុងក្រោយដើម្បីចុះហត្ថលេខាលើសៀវភៅប្រចាំឆ្នាំ។ខ្ញុំនឹងនឹកអ្នក!,negative
ហើយខ្ញុំគ្រាន់តែស្រឡាញ់រឿងតូចតាចអំពីអ្នក ...,positive
My mobile has stopped recieving text messages AGAIN. Stoooopid thing,negative
សួស្តី Simon ប្រាប់ខ្ញុំនៅពេលវារួចរាល់,neutral
មានរាត្រីដ៏អស្ចារ្យជាមួយមិត្តនារីដែលខ្ញុំចូលចិត្ត,positive
_Oyler ស្ត្រី​តូច​ដ៏​កំសត់​របស់​នាង​ត្រូវ​ក្បាល,negative
កំពុងតែរៀបចំសម្អាតផ្ទះជូនម៉ាក់សម្រាប់ថ្ងៃម្ដាយ,positive
ហេតុអ្វីបានជាអ្នកគិតថាមនុស្សនិយាយថា 'save the drama fo yo mama?'ខ្ញុំប្រាកដថាសូម្បីតែអ្នកម៉ាក់ក៏មិនចង់ស្តាប់រឿងរបស់អ្នកដែរ។Ode to mother`s day!,neutral
ហេ!នោះជាសាលារបស់ខ្ញុំ!ខ្ញុំស្អប់កន្លែងនោះ។,negative
ខ្ញុំ​បាន​ត្រឹម​តែ​ផ្កាយ 3 នៅ​លើ​ការ​លាង​មុខ​បន្ទាប់​មក​បាន​បរាជ័យ rince,negative
បងស្រីក្មេករបស់ខ្ញុំ ទុកសម្រាប់កម្មវិធីរបស់នាង!!នាង​មើល​ទៅ​ស្អាត​ណាស់.. ស្រក់​ទឹក​ភ្នែក​ទាំង​អស់,positive
 follow me too,neutral
ទិញបីសៀវភៅ!!យីប៉ា!!ឥឡូវនេះ តើអ្នកណានៅជាមួយខ្ញុំនៅលើសៀវភៅដប់ក្បាលនោះ ក្នុងអំឡុងពេលរដូវក្តៅ?,neutral
ខ្ញុំពិតជាអផ្សុកណាស់!ប្អូន​ប្រុស​ខ្ញុំ​ទៅ​ទទួល​លិខិត​អនុញ្ញាត!បិទផ្លូវ!Jk ឡូយ!មានអារម្មណ៍ថាមិត្តរបស់ខ្ញុំទាំងអស់បានបោះបង់ចោលខ្ញុំ!លើកលែងតែ 1,negative
", រាត្រីសួស្តី",positive
_The_Moon Hiya hun!វាមិនមែនជាថ្ងៃរបស់ខ្ញុំទេ។ការណាត់ជួបពេទ្យធ្មេញ (អូហូ!) សៀវភៅកត់ត្រាជា ****។ឈឺហើយ សុខសប្បាយទេ?,negative
ប៉ុន្តែខ្ញុំធ្វើអេមីលី អាហាហា អ្នកបំភ័យខ្ញុំ ដូច្នេះវានឹងដំណើរការ,negative
ឥឡូវនេះខ្ញុំត្រូវផ្លាស់ប្តូរម៉ូនីទ័ររបស់ខ្ញុំ,neutral
ខ្ញុំដឹងហើយ ខ្ញុំកំពុងដំណើរការឡើងវិញ ធ្វើឱ្យ Jenny មើលពួកគេផងដែរ ដូច្នេះយើងអាចសន្ទនាគ្នាបាន LOL ។មិន​បាន​អ៊ីនធឺណិត​ច្រើន​ទេ។,neutral
ចុះខ្ញុំវិញ??ខ្ញុំបោះឆ្នោតជូនអ្នកជារៀងរាល់ថ្ងៃ !!!!!,neutral
should not have waled past the Quad! I want to be outside having fun.,positive
ទើបតែឡើងផ្ទះពី maccas ហើយឥឡូវនេះចុះហត្ថលេខាលើញត្តិសម្រាប់ Big Bang ដើម្បីដំណើរកម្សាន្ត LOL,neutral
ខ្ញុំ​គិត​ថា​អាហារ​ដែល​ខ្ញុំ​បាន​ញ៉ាំ​ធ្វើ​ឱ្យ​ខ្ញុំ​ឈឺ.. ខ្ញុំ​មិន​មាន​អារម្មណ៍​ល្អ​ខ្លាំង​ណាស់​,negative
 eagerly anticipating twitpics,neutral
"កិច្ចការជាច្រើនដែលត្រូវបញ្ចប់នៅថ្ងៃនេះ។First, welcoming new members to Canadamigos Social Networking site, www.canadamigos.com, and coffee",positive
ចង់ដេកពេញមួយថ្ងៃ តែត្រូវទៅធ្វើការជំនួស sux,negative
ត្រជាក់​ព្យាយាម​ដោះស្រាយ​រឿង​នេះ​ឱ្យ​ស្រវឹង,positive
ពេលនេះ គ្រូពេទ្យសម្ភាស បន្ទាប់មក ត្រលប់មកវិញ 2 គ្រូពេទ្យសម្រាប់ការងារឈាម,neutral
ការថតនៅក្នុងពិធីជប់លៀងសម្រាប់វីដេអូចម្រៀងរបស់ខ្ញុំ ... វារំឭកខ្ញុំពីពិធីបុណ្យ Cherry ដែលខ្ញុំធ្លាប់ត្រលប់ទៅផ្ទះវិញ ... Ahhh អនុស្សាវរីយ៍ ...,positive
អូនសុខសប្បាយទេ!!,negative
Propellerheads មាននៅលើ hard drive របស់ខ្ញុំអស់រយៈពេលជាយូរមកហើយ។គ្រាន់​តែ​ទទួល​បាន​បទ​ចម្រៀង​របស់​ខ្ញុំ​ត្រឡប់​មក​ជា​ទម្រង់ WE នេះ​ហើយ​មាន​អារម្មណ៍​អាឡោះ​អាល័យ,positive
ថ្ងៃដែលមានពន្លឺថ្ងៃដ៏រុងរឿងក្នុងទីក្រុងឡុងដ៍.. ខ្ញុំនៅក្នុងសាលាល្ខោនប្រយុទ្ធជាមួយមនុស្សដោយដាវ ខណៈពេលដែលការពារមុខដែលប្រកបដោយមនោសញ្ចេតនារបស់ខ្ញុំ,positive
_89 ខ្ញុំអាណិតនាងណាស់ សង្ឃឹមថានាងមិនយំលើកទី២,negative
would wish the severe migrains would stop!!! doc`s prescriptions arent working,negative
09/09 +full moon+ my lovely friend and family= my b-day wishes be true;)<3 លើសពីនេះ រឿងប្រផេះ គឺជាភាពយន្តដ៏គួរឱ្យស្រលាញ់បំផុតមួយដែលមិនធ្លាប់មាន!!,positive
ជីវិតរបស់ខ្ញុំនឹងស្រក់ដោយគ្មានអ្នក - Kelly Clarkson,negative
ពិនិត្យឡើងវិញសម្រាប់ការប្រឡង,neutral
អ្នកគួរតែធ្វើជាម្ចាស់ផ្ទះនៃ logies លើកក្រោយ ខ្ញុំគ្រាន់តែសើចចំអករបស់អ្នកបន្តិច,positive
សួស្តី Jordan ខ្ញុំនឹងអ្នកទាំងអស់គ្នា... ខ្ញុំដឹងថាអ្នករវល់ ហើយខ្ញុំដឹងថាអ្នកប្រហែលជាហត់នឿយ។ប៉ុន្តែសូមកំណត់ពេល NC ឡើងវិញ។កុំទុកយើងចោល។,neutral
__រីករាយ ខ្ញុំមានអារម្មណ៍ថាដូចជាក្រហម,positive
ខ្ញុំ​ចង់​ទៅ ប៉ុន្តែ​ខ្ញុំ​គិត​ថា​ការ​ធ្វើ​ដំណើរ​ពី​ទីក្រុង​ឡុងដ៍​គឺ​ច្រើន​ពេក,neutral
ហេហេហេ,neutral
គិតថាការកែប្រែនៅសួនច្បារចាប់ពីម៉ោង 8 ព្រឹកនេះដោយគ្មានឡេការពារកំដៅថ្ងៃមិនមែនជាគំនិតដ៏ល្អបំផុតដែលខ្ញុំមាន cccccccc,negative
វេទនា​ណាស់​ខ្ញុំ​មាន​អារម្មណ៍​ចង់​យំ​ប្រាំមួយ!,negative
ខ្ញុំដឹងថាឆ្ងាញ់។នឹកប្រទេសអាឡឺម៉ង់ ប៉ុន្តែចូលចិត្តប្រទេសហូឡង់ ក៏ដូចជាយើងធ្លាប់ដើរទិញឥវ៉ាន់នៅទីនោះនៅចុងសប្តាហ៍។lol,positive
LOL ពិត​ណាស់។ប្រហែលជាឆ្នាំក្រោយ។ខ្ញុំ​បាន​លួច​មើល​រឿង​នោះ ហើយ​ខ្ញុំ​មិន​ចាំ​ថា​លេខ​សម្ងាត់​អ្វី​សម្រាប់​ Mod នោះ​គឺ Cake?,positive
lol មើលវាម្តងទៀត ហេហេ,neutral
សង្ឃឹមថាអ្នកធ្វើបានល្អណាស់ - អ្នកប្រាកដជាចំណាយពេលសិក្សាគ្រប់គ្រាន់។,positive
btw - ទាញយក iPhone 3.0 sdk,neutral
សក់​ខ្ញុំ​ត្រង់​ហើយ​វា​មិន​ត្រង់​ដូច​ដែល​ខ្ញុំ​ចង់​ឲ្យ​វា​ជា​រឿង​អាស្រូវ​សម្រាប់​ខ្ញុំ,negative
ខ្ញុំ​ត្រូវ​ការ​ថ្នាំ Botox នៅ​បបូរមាត់ បើ​ខ្ញុំ​នឹង​ប្តូរ​ឈ្មោះ​ទៅ Angelina Jolie ប៉ុន្តែ​វា​ជា​ការ​គិត!ទោះបីជាមានការសោកស្តាយចំពោះការរើសអើងជាតិសាសន៍ក៏ដោយ។,negative
ខ្ញុំ?គ្រូពេទ្យ?*សើច* អូ៎ អត់ទេ អត់ទេ។ខ្ញុំជាអ្នកជំងឺរបស់ _crane នៅ Arkham Aslyum ប៉ុន្តែឥឡូវនេះខ្ញុំធ្វើការឱ្យគាត់,neutral
Morning all! Have a GREAT DAY! Off to school I go,positive
ឥឡូវនេះនៅក្នុងអារម្មណ៍ចម្លែក muahaz,negative
អបអរសាទរ!រូបថតរបស់ dre?,positive
#SanctuarySunday អរគុណសម្រាប់ការចូលរួមនៅ #SanctuarySunday តាមដានប្រជាជន Sanctuary បន្ថែមទៀតដើម្បីតាមដានព័ត៌មានថ្មីៗនៅលើធ្វីត!,positive
ធ្វើ​នៅ Disneyland ក្មេង​បាន​វាយ​ចេញ ឈប់​ក្បែរ​របារ​សណ្ឋាគារ ហើយ​ចាប់​ពពែ​ប្រផេះ​មួយ​ក្បាល​នៅ​ផ្លូវ​ឡើង... សន្តិភាព,positive
យល់ព្រម។lolខ្ញុំក៏នឹកអ្នកដែរ។i hope your cramps get better.ខ្ញុំដឹងថាពួកគេអាចឈឺចាប់ប៉ុណ្ណា។,neutral
អូ ហើយការពិនិត្យល្អណាស់,positive
_MileyCyrus it wont let me do it twitter keeps saying over twitter capacity or something that bird keeps coming up.,negative
I`m extremely hungry.... and the only thing I have in my house is Soup...  I don`t like soup... *pouts*,negative
គួរឱ្យអស់សំណើចរបស់វា។,positive
ខ្ញុំស្រឡាញ់បុរសដែលឈរនៅពីក្រោយខ្ញុំ,positive
បុកបាវ...មាន **** ធ្វើថ្ងៃស្អែក។រីករាយទិវាអ្នកម្តាយ MOM!,positive
បាត់មួក DC របស់ខ្ញុំ..,negative
ចាប់ផ្តើមការកែសម្រួលវីដេអូនៃខ្សែភាពយន្ត spanking ដំបូងដែលយើងបានធ្វើជាមួយ Mina ... វានឹងត្រូវបានបន្ថែមទៅការអាប់ដេតបន្ទាប់,neutral
ជាក់ស្តែង ផតខាសរបស់អ្នកគឺជាកំណែសំឡេងនៃសៀវភៅរបស់អ្នក។មែនឬ?(បូក​រួម​ទាំង​វា​មាន​ភាព​ទាក់​ទាញ​បន្ថែម​ទៀត​នៃ banter ),neutral
ព្រឹកថ្ងៃអាទិត្យមានពន្លឺថ្ងៃ។នីកូ គេងយឺតជាងធម្មតា ម៉ាក់បានគេងបន្តិចហើយ។,neutral
ការរុករកស្វែងរកអ្វីគ្រប់យ៉ាងអំពីសាកលវិទ្យាល័យ និងការរចនាខាងក្នុង។,neutral
ខ្ញុំ​មិន​បាន tweeted អស់​រយៈ​ពេល​ដប់ប្រាំមួយ​ថ្ងៃ!ខ្ញុំនឹកវា =( I've been enjoying even even! =D Ingrid on mon was frakking awesome BBQ today!,neutral
 visit si fr joemar dito bataan (frm camiguin) & sum of my ofcmates& i are supposed to meet him this saturday  can`t luwas,neutral
ខ្ញុំពិតជារំភើបចំពោះសិក្ខាសាលា pasadena របស់អ្នក... ប្រសិនបើមានតែខ្ញុំអាចស្វែងរកអ៊ីមែលបញ្ជាក់,positive
Ugh ខ្ញុំ​មិន​មាន​អារម្មណ៍​ល្អ​ម្ដង​ទៀត​ភ្លាមៗ​ទេ។,negative
ខ្ញុំ​ចង់​បាន​ទូរស័ព្ទ​ថ្មី​ដែល​ខ្ញុំ​បាន​ឃើញ​ការ​ផ្សាយ​ពាណិជ្ជកម្ម​ទូរស័ព្ទ​ច្រើន​ពេក (,negative
យើង​នឹង​សាកល្បង​ទ្រឹស្ដី​នោះ​ដោយ​គ្មាន​ដៃ​ស្តាំ​ដើម្បី​វាយ​ជាមួយ។មានអារម្មណ៍ថា ខ្ញុំនឹងច្រៀងបទថ្មីរបស់ខ្ញុំមួយរយៈ,negative
http://twitpic.com/4vuuy - ឡូយណាស់,positive
សាលា។៣៩ថ្ងៃ!!!ដូច្នេះបានចាកចេញ។នាយករដ្ឋមន្ត្រីដ៏អស្ចារ្យ,positive
វាមានប្រយោជន៍ខ្លាំងណាស់ esp ។សម្រាប់អ្នកថ្មីដូចខ្ញុំ!,positive
ទៅមើលបងស្រីខ្ញុំនៅភ្នំស៊ីណៃ .... នាងនៅទីនោះយ៉ាងហោចណាស់ 24 ម៉ោងទៀត។,neutral
វាគ្រាន់តែជាចំណុចទាញ tg,neutral
ភ្នំរាប... មីហ្វិន!!!,neutral
កំពុងសម្រាកបន្ទាប់ពីធ្វើការនៅថ្ងៃបុណ្យម្ដាយ។អូ។មានថ្ងៃល្អមួយ។សង្ឃឹមថាអ្នកទាំងអស់គ្នាសុខសប្បាយ,positive
ថ្ងៃច័ន្ទចុងក្រោយនៃថ្នាក់,neutral
បាទ!ឥឡូវនេះខ្ញុំអាចចូលរួមក្នុងកម្មវិធី Nin Access Fun!,positive
ខ្ញុំទើបតែដើរទៅធ្វើការ ទាំងគិតថាខ្ញុំកំពុងអង្គុយនៅ Bellagio នៅថ្ងៃពុធនេះ។,neutral
អយុត្តិធម៌ខ្ញុំចង់ទៅដែរ។,negative
ទាញយកភាពយន្ត 'A Good Day to Be Black &#38 Sexy' http://tinyurl.com/ckmkul cool #movie,positive
ទើបតែត្រលប់ពីរត់ឡើង blvd ថ្ងៃលិច!បងប្អូនជីដូនមួយរបស់ខ្ញុំ ព្យាយាមសម្លាប់ខ្ញុំ ជើងរបស់ខ្ញុំនៅតែវិល ហើយអង្គុយចុះ!!,negative
អូ៎ គួរឲ្យសោកស្ដាយ។ខ្ញុំនឹកឃើញអ្នកនៅលើអេក្រង់ធំ។,negative
ខ្ញុំដឹងហើយ ដបទឹកក្តៅរបស់ខ្ញុំគឺនៅ whangamata ដោយគ្មានខ្ញុំ។អេហេហេ,neutral
eeeeep ច្រណែនណាស់ ;) ខ្ញុំនៅកន្លែងធ្វើការ អ៊ុំ ធ្វើម៉េចទទួល Viva?តើពួកគេចាក់ផ្សាយតាមអ៊ីនធឺណិតទេ?:plz:,negative
អរគុណច្រើន phaoloo!!!!,positive
សណ្ឋាគារគួរតែដឹងគុណ,positive
កំពុងមើល GH ។ខ្ញុំមានអារម្មណ៍មិនល្អសម្រាប់ Carly ។OMG ដូច្នេះ **** ឡើង។,negative
rofl នោះហើយជាអ្វីដែលយើងចូលចិត្តស្តាប់,positive
យល់ព្រម ខ្ញុំមានការខកចិត្ត មានធូលីដីនៅចន្លោះអេក្រង់ទូរស័ព្ទ Blackberry របស់ខ្ញុំ,negative
មានអ្នកណាភ្ញាក់ទេ?!?!?!?!ឱព្រះជាម្ចាស់អើយ ខ្ញុំកំពុងស្លាប់នៅទីនេះ។i want to go to SLEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEEP.:[,negative
យើងធ្វើ!យូរហើយ!ខ្ញុំគិតថាខ្ញុំនឹងបើកនៅចុងសប្តាហ៍ក្រោយ។តើអ្នកនឹងរៀបចំពិធីជប់លៀងកំដៅផ្ទះនៅពេលណា?,neutral
ការផ្លាស់ប្តូរផែនការ ធ្វើការនៅក្នុងបារយប់នេះ។,neutral
អរគុណសម្រាប់ការតាមដាន,positive
សូមសំណាងល្អនៅពេលនោះ។,positive
នៅ​កន្លែង​ធ្វើ​ការ​ទទួល​ទាន​អាហារ​យ៉ាង​ឆាប់​រហ័ស​មុន​នឹង​សម្លាប់​កដៃ​ខ្លួន​ឯង​និយាយ​ស្រោម​សំបុត្រ​ចំនួន ៥០០,negative
Arghhhhhhhhh... ខ្ញុំមិនអាចបន្តជាមួយ TwitterBones ទាំងនេះបានទេ។,negative
ការ​បោះឆ្នោត​មិន​គ្រប់​គ្រាន់​តែ​នឹង​បន្ត ខ្ញុំ​យល់​ព្រម​ទាំង​អស់,neutral
ធ្វើចំណិតផ្លែប៉ោមអាឡឺម៉ង់ ឈ្មោះឈ្មោះ,positive
វាហាក់ដូចជាយប់មួយទៀតនៅការិយាល័យ lol,neutral
ពោះរបស់ខ្ញុំឈឺ,negative
